Oscilloscope data. 
Time step = 100,0 nS
Voltage step = 15,63 mV
Zero level = 87

N 	Smpl.	Trig

0	59	0
1	59	0
2	59	0
3	59	0
4	59	0
5	59	0
6	59	0
7	59	0
8	59	0
9	59	0
10	59	0
11	59	0
12	59	0
13	59	0
14	59	0
15	59	0
16	59	0
17	59	0
18	59	0
19	59	0
20	59	0
21	59	0
22	59	0
23	59	0
24	59	0
25	59	0
26	59	0
27	59	0
28	59	0
29	59	0
30	59	0
31	59	0
32	59	0
33	60	0
34	59	0
35	59	0
36	59	0
37	59	0
38	59	0
39	60	0
40	59	0
41	59	0
42	59	0
43	59	0
44	59	0
45	59	0
46	59	0
47	59	0
48	59	0
49	59	0
50	59	0
51	59	0
52	59	0
53	59	0
54	59	0
55	59	0
56	59	0
57	59	0
58	59	0
59	59	0
60	59	0
61	59	0
62	192	0
63	188	0
64	188	0
65	188	0
66	188	0
67	188	0
68	188	0
69	188	0
70	188	0
71	188	0
72	188	0
73	188	0
74	188	0
75	188	0
76	188	0
77	188	0
78	188	0
79	188	0
80	187	0
81	188	0
82	55	0
83	59	0
84	59	0
85	59	0
86	59	0
87	59	0
88	59	0
89	59	0
90	59	0
91	59	0
92	59	0
93	59	0
94	59	0
95	59	0
96	59	0
97	59	0
98	59	0
99	59	0
100	59	0
101	59	0
102	59	0
103	59	0
104	59	0
105	59	0
106	59	0
107	59	0
108	59	0
109	59	0
110	59	0
111	59	0
112	59	0
113	59	0
114	60	0
115	59	0
116	59	0
117	59	0
118	59	0
119	59	0
120	59	0
121	59	0
122	59	0
123	59	0
124	59	0
125	59	0
126	59	0
127	59	0
128	59	0
129	59	0
130	59	0
131	59	0
132	60	0
133	59	0
134	59	0
135	59	0
136	59	0
137	59	0
138	59	0
139	59	0
140	59	0
141	59	0
142	59	0
143	59	0
144	59	0
145	59	0
146	59	0
147	59	0
148	59	0
149	59	0
150	59	0
151	59	0
152	192	0
153	188	0
154	188	0
155	188	0
156	188	0
157	188	0
158	188	0
159	188	0
160	188	0
161	188	0
162	188	0
163	187	0
164	188	0
165	188	0
166	188	0
167	188	0
168	188	0
169	188	0
170	188	0
171	188	0
172	56	0
173	59	0
174	59	0
175	59	0
176	59	0
177	59	0
178	59	0
179	59	0
180	59	0
181	59	0
182	59	0
183	59	0
184	59	0
185	59	0
186	59	0
187	59	0
188	59	0
189	59	0
190	59	0
191	59	0
192	59	0
193	59	0
194	59	0
195	59	0
196	59	0
197	59	0
198	59	0
199	59	0
200	59	0
201	59	0
202	59	0
203	59	0
204	59	0
205	59	0
206	59	0
207	59	0
208	59	0
209	59	0
210	59	0
211	59	0
212	59	0
213	59	0
214	59	0
215	59	0
216	59	0
217	59	0
218	59	0
219	59	0
220	59	0
221	59	0
222	59	0
223	59	0
224	59	0
225	59	0
226	59	0
227	59	0
228	59	0
229	59	0
230	59	0
231	59	0
232	59	0
233	59	0
234	59	0
235	59	0
236	59	0
237	59	0
238	59	0
239	59	0
240	59	0
241	59	0
242	191	0
243	188	0
244	188	0
245	188	0
246	187	0
247	188	0
248	188	0
249	188	0
250	188	0
251	188	0
252	188	0
253	188	0
254	188	0
255	188	0
256	187	0
257	188	0
258	188	0
259	188	0
260	187	0
261	188	0
262	55	0
263	59	0
264	59	0
265	59	0
266	59	0
267	59	0
268	59	0
269	59	0
270	59	0
271	59	0
272	59	0
273	59	0
274	59	0
275	59	0
276	59	0
277	59	0
278	59	0
279	59	0
280	59	0
281	59	0
282	59	0
283	59	0
284	59	0
285	59	0
286	59	0
287	59	0
288	59	0
289	59	0
290	59	0
291	59	0
292	59	0
293	59	0
294	59	0
295	59	0
296	59	0
297	59	0
298	59	0
299	59	0
300	59	0
301	59	0
302	59	0
303	59	0
304	60	0
305	59	0
306	59	0
307	59	0
308	59	0
309	59	0
310	59	0
311	59	0
312	59	0
313	59	0
314	59	0
315	59	0
316	59	0
317	59	0
318	59	0
319	59	0
320	59	0
321	59	0
322	59	0
323	59	0
324	59	0
325	59	0
326	59	0
327	59	0
328	59	0
329	59	0
330	59	0
331	59	0
332	192	0
333	188	0
334	187	0
335	187	0
336	188	0
337	188	0
338	188	0
339	188	0
340	187	0
341	188	0
342	188	0
343	188	0
344	188	0
345	188	0
346	188	0
347	188	0
348	187	0
349	188	0
350	188	0
351	188	0
352	55	0
353	59	0
354	59	0
355	59	0
356	59	0
357	59	0
358	59	0
359	59	0
360	59	0
361	59	0
362	59	0
363	59	0
364	59	0
365	59	0
366	59	0
367	59	0
368	59	0
369	59	0
370	59	0
371	59	0
372	59	0
373	59	0
374	59	0
375	59	0
376	59	0
377	59	0
378	59	0
379	59	0
380	59	0
381	59	0
382	59	0
383	59	0
384	59	0
385	59	0
386	59	0
387	59	0
388	60	0
389	59	0
390	59	0
391	59	0
392	59	0
393	59	0
394	59	0
395	59	0
396	59	0
397	59	0
398	59	0
399	59	0
400	59	0
401	59	0
402	59	0
403	59	0
404	59	0
405	59	0
406	59	0
407	59	0
408	59	0
409	59	0
410	59	0
411	59	0
412	59	0
413	59	0
414	59	0
415	59	0
416	59	0
417	59	0
418	59	0
419	59	0
420	59	0
421	59	0
422	191	0
423	188	0
424	188	0
425	187	0
426	188	0
427	188	0
428	188	0
429	188	0
430	188	0
431	188	0
432	188	0
433	188	0
434	188	0
435	187	0
436	188	0
437	188	0
438	188	0
439	187	0
440	188	0
441	188	0
442	56	0
443	60	0
444	59	0
445	59	0
446	59	0
447	59	0
448	59	0
449	59	0
450	59	0
451	59	0
452	59	0
453	59	0
454	59	0
455	59	0
456	59	0
457	59	0
458	59	0
459	59	0
460	59	0
461	59	0
462	59	0
463	59	0
464	59	0
465	59	0
466	59	0
467	59	0
468	59	0
469	59	0
470	59	0
471	59	0
472	59	0
473	59	0
474	59	0
475	59	0
476	59	0
477	59	0
478	59	0
479	59	0
480	59	0
481	59	0
482	59	0
483	59	0
484	59	0
485	59	0
486	59	0
487	60	0
488	59	0
489	59	0
490	59	0
491	59	0
492	59	0
493	59	0
494	59	0
495	59	0
496	59	0
